Dados	Densidade de Fluxo (Jy)	G1	G2	G3	G4	G5	Ajuste		
-697.481266	0.16653	0.25347	0.00000	0.00000	0.00000	0.00000	0.25347	0.00756	0.08695
-696.578396	0.41286	0.25509	0.00000	0.00000	0.00000	0.00000	0.25509	0.02489	-0.15777
-695.675526	0.50891	0.25670	0.00000	0.00000	0.00000	0.00000	0.25670	0.06361	-0.25221
-694.772657	0.48887	0.25832	0.00000	0.00000	0.00000	0.00000	0.25833	0.05315	-0.23054
-693.869787	0.69143	0.25995	0.00000	0.00000	0.00000	0.00000	0.25995	0.18617	-0.43148
-692.966917	0.26913	0.26159	0.00000	0.00000	0.00000	0.00000	0.26159	0.00006	-0.00754
-692.064047	0.25369	0.26323	0.00000	0.00000	0.00000	0.00000	0.26323	0.00009	0.00954
-691.161177	0.03406	0.26488	0.00000	0.00000	0.00000	0.00000	0.26488	0.05328	0.23082
-690.258308	0.20659	0.26653	0.00000	0.00000	0.00000	0.00000	0.26653	0.00359	0.05994
-689.355438	0.20678	0.26819	0.00000	0.00000	0.00000	0.00000	0.26819	0.00377	0.06142
-688.452568	-0.04453	0.26986	0.00000	0.00000	0.00000	0.00000	0.26986	0.09884	0.31439
-687.549698	0.00479	0.27153	0.00000	0.00000	0.00000	0.00000	0.27153	0.07115	0.26674
-686.646828	0.29292	0.27321	0.00000	0.00000	0.00000	0.00000	0.27321	0.00039	-0.01971
-685.743958	0.41059	0.27490	0.00000	0.00000	0.00000	0.00000	0.27490	0.01841	-0.13570
-684.841089	-0.02141	0.27659	0.00000	0.00000	0.00000	0.00000	0.27659	0.08880	0.29799
-683.938219	-0.01981	0.27828	0.00000	0.00000	0.00000	0.00000	0.27828	0.08886	0.29809
-683.035349	-0.00307	0.27999	0.00000	0.00000	0.00000	0.00000	0.27999	0.08012	0.28306
-682.132479	0.02238	0.28169	0.00000	0.00000	0.00000	0.00000	0.28169	0.06724	0.25931
-681.229609	-0.11581	0.28341	0.00000	0.00000	0.00000	0.00000	0.28341	0.15938	0.39922
-680.326740	-0.24734	0.28513	0.00000	0.00000	0.00000	0.00000	0.28513	0.28353	0.53248
-679.423870	-0.20237	0.28686	0.00000	0.00000	0.00000	0.00000	0.28686	0.23934	0.48923
-678.521000	-0.71934	0.28859	0.00000	0.00000	0.00000	0.00000	0.28859	1.01593	1.00793
-677.618130	-0.64781	0.29033	0.00000	0.00000	0.00000	0.00000	0.29033	0.88011	0.93814
-676.715260	-0.55253	0.29207	0.00000	0.00000	0.00000	0.00000	0.29207	0.71336	0.84461
-675.812391	0.02798	0.29382	0.00000	0.00000	0.00000	0.00000	0.29382	0.07067	0.26585
-674.909521	-0.11858	0.29558	0.00000	0.00000	0.00000	0.00000	0.29558	0.17153	0.41416
-674.006651	-0.32951	0.29734	0.00000	0.00000	0.00000	0.00000	0.29734	0.39295	0.62685
-673.103781	0.23666	0.29911	0.00000	0.00000	0.00000	0.00000	0.29911	0.00390	0.06245
-672.200911	0.33558	0.30089	0.00000	0.00000	0.00000	0.00000	0.30089	0.00120	-0.03470
-671.298041	0.16746	0.30267	0.00000	0.00000	0.00000	0.00000	0.30267	0.01828	0.13520
-670.395172	0.04879	0.30445	0.00000	0.00000	0.00000	0.00000	0.30445	0.06536	0.25566
-669.492302	0.15885	0.30624	0.00000	0.00000	0.00000	0.00000	0.30624	0.02173	0.14740
-668.589432	-0.01968	0.30804	0.00000	0.00000	0.00000	0.00000	0.30804	0.10740	0.32772
-667.686562	-0.01978	0.30984	0.00000	0.00000	0.00000	0.00000	0.30984	0.10865	0.32963
-666.783692	-0.10634	0.31165	0.00000	0.00000	0.00000	0.00000	0.31165	0.17472	0.41799
-665.880823	0.19956	0.31347	0.00000	0.00000	0.00000	0.00000	0.31347	0.01298	0.11391
-664.977953	0.21689	0.31529	0.00000	0.00000	0.00000	0.00000	0.31529	0.00968	0.09839
-664.075083	0.18178	0.31711	0.00000	0.00000	0.00000	0.00000	0.31711	0.01831	0.13533
-663.172213	0.12586	0.31894	0.00000	0.00000	0.00000	0.00000	0.31894	0.03728	0.19308
-662.269343	0.21629	0.32078	0.00000	0.00000	0.00000	0.00000	0.32078	0.01092	0.10449
-661.366474	0.50079	0.32262	0.00000	0.00000	0.00000	0.00000	0.32262	0.03174	-0.17817
-660.463604	0.59478	0.32447	0.00000	0.00000	0.00000	0.00000	0.32447	0.07307	-0.27031
-659.560734	0.50882	0.32632	0.00000	0.00000	0.00000	0.00000	0.32632	0.03331	-0.18250
-658.657864	0.89939	0.32818	0.00000	0.00000	0.00000	0.00000	0.32818	0.32627	-0.57120
-657.754994	0.67187	0.33005	0.00000	0.00000	0.00000	0.00000	0.33005	0.11684	-0.34182
-656.852125	0.57218	0.33192	0.00000	0.00000	0.00000	0.00000	0.33192	0.05772	-0.24026
-655.949255	0.04155	0.33379	0.00000	0.00000	0.00000	0.00000	0.33379	0.08541	0.29224
-655.046385	0.41794	0.33567	0.00000	0.00000	0.00000	0.00000	0.33567	0.00677	-0.08227
-654.143515	0.62606	0.33756	0.00000	0.00000	0.00000	0.00000	0.33756	0.08323	-0.28850
-653.240645	0.49205	0.33945	0.00000	0.00000	0.00000	0.00000	0.33945	0.02329	-0.15260
-652.337775	0.58179	0.34134	0.00000	0.00000	0.00000	0.00000	0.34135	0.05781	-0.24045
-651.434906	0.34897	0.34325	0.00000	0.00000	0.00000	0.00000	0.34325	0.00003	-0.00572
-650.532036	0.29092	0.34515	0.00000	0.00000	0.00000	0.00000	0.34515	0.00294	0.05423
-649.629166	0.25396	0.34707	0.00000	0.00000	0.00000	0.00000	0.34707	0.00867	0.09311
-648.726296	-0.03631	0.34898	0.00000	0.00000	0.00000	0.00000	0.34898	0.14845	0.38529
-647.823426	0.22773	0.35091	0.00000	0.00000	0.00000	0.00000	0.35091	0.01517	0.12317
-646.920557	0.34447	0.35283	0.00000	0.00000	0.00000	0.00000	0.35283	0.00007	0.00836
-646.017687	-0.05956	0.35477	0.00000	0.00000	0.00000	0.00000	0.35477	0.17166	0.41432
-645.114817	-0.08936	0.35670	0.00000	0.00000	0.00000	0.00000	0.35670	0.19897	0.44606
-644.211947	0.15027	0.35865	0.00000	0.00000	0.00000	0.00000	0.35865	0.04342	0.20837
-643.309077	0.08775	0.36059	0.00000	0.00000	0.00000	0.00000	0.36059	0.07444	0.27284
-642.406208	0.38816	0.36255	0.00000	0.00000	0.00000	0.00000	0.36255	0.00066	-0.02561
-641.503338	0.11860	0.36450	0.00000	0.00000	0.00000	0.00000	0.36450	0.06047	0.24591
-640.600468	-0.40541	0.36647	0.00000	0.00000	0.00000	0.00000	0.36647	0.59580	0.77188
-639.697598	-0.12792	0.36843	0.00000	0.00000	0.00000	0.00000	0.36843	0.24637	0.49636
-638.794728	-0.07696	0.37040	0.00000	0.00000	0.00000	0.00000	0.37041	0.20013	0.44736
-637.891858	-0.26724	0.37238	0.00000	0.00000	0.00000	0.00000	0.37238	0.40912	0.63962
-636.988989	-0.27263	0.37436	0.00000	0.00000	0.00000	0.00000	0.37436	0.41860	0.64700
-636.086119	0.29548	0.37635	0.00000	0.00000	0.00000	0.00000	0.37635	0.00654	0.08087
-635.183249	0.03666	0.37834	0.00000	0.00000	0.00000	0.00000	0.37834	0.11675	0.34168
-634.280379	-0.14074	0.38033	0.00000	0.00000	0.00000	0.00000	0.38034	0.27152	0.52108
-633.377509	0.09387	0.38233	0.00000	0.00000	0.00000	0.00000	0.38234	0.08321	0.28846
-632.474640	0.36245	0.38434	0.00000	0.00000	0.00000	0.00000	0.38434	0.00048	0.02189
-631.571770	-0.07192	0.38635	0.00000	0.00000	0.00000	0.00000	0.38635	0.21001	0.45827
-630.668900	0.20886	0.38836	0.00000	0.00000	0.00000	0.00000	0.38836	0.03222	0.17950
-629.766030	0.34341	0.39038	0.00000	0.00000	0.00000	0.00000	0.39038	0.00221	0.04697
-628.863160	-0.12703	0.39240	0.00000	0.00000	0.00000	0.00000	0.39240	0.26981	0.51943
-627.960291	-0.23380	0.39443	0.00000	0.00000	0.00000	0.00000	0.39443	0.39467	0.62822
-627.057421	-0.18587	0.39646	0.00000	0.00000	0.00000	0.00000	0.39646	0.33910	0.58233
-626.154551	0.60169	0.39849	0.00000	0.00000	0.00000	0.00000	0.39849	0.04129	-0.20319
-625.251681	-0.00203	0.40053	0.00000	0.00000	0.00000	0.00000	0.40053	0.16206	0.40257
-624.348811	0.35946	0.40257	0.00000	0.00000	0.00000	0.00000	0.40258	0.00186	0.04312
-623.445941	0.16024	0.40462	0.00000	0.00000	0.00000	0.00000	0.40463	0.05972	0.24438
-622.543072	0.56391	0.40667	0.00000	0.00000	0.00000	0.00000	0.40668	0.02472	-0.15724
-621.640202	0.19323	0.40873	0.00000	0.00000	0.00000	0.00000	0.40873	0.04644	0.21550
-620.737332	0.13088	0.41079	0.00000	0.00000	0.00000	0.00000	0.41079	0.07835	0.27992
-619.834462	-0.04911	0.41285	0.00000	0.00000	0.00000	0.00000	0.41286	0.21341	0.46196
-618.931592	0.16576	0.41492	0.00000	0.00000	0.00000	0.00000	0.41492	0.06208	0.24917
-618.028723	0.52264	0.41699	0.00000	0.00000	0.00000	0.00000	0.41699	0.01116	-0.10565
-617.125853	0.36295	0.41907	0.00000	0.00000	0.00000	0.00000	0.41907	0.00315	0.05612
-616.222983	0.57397	0.42115	0.00000	0.00000	0.00000	0.00000	0.42115	0.02335	-0.15282
-615.320113	0.80646	0.42323	0.00000	0.00000	0.00000	0.00000	0.42323	0.14686	-0.38323
-614.417243	0.33993	0.42531	0.00000	0.00000	0.00000	0.00000	0.42532	0.00729	0.08538
-613.514374	0.27329	0.42740	0.00000	0.00000	0.00000	0.00000	0.42741	0.02375	0.15412
-612.611504	0.00896	0.42950	0.00000	0.00000	0.00000	0.00000	0.42950	0.17686	0.42054
-611.708634	0.46805	0.43160	0.00000	0.00000	0.00000	0.00000	0.43160	0.00133	-0.03645
-610.805764	0.51407	0.43370	0.00000	0.00000	0.00000	0.00000	0.43370	0.00646	-0.08037
-609.902894	0.50912	0.43580	0.00000	0.00000	0.00000	0.00000	0.43580	0.00537	-0.07331
