Dados;Densidade de Fluxo (Jy);G1;G2;G3;G4;G5;Ajuste;Erro
-6,8755E+12;0.00479486440755395;0.271532181461117;3,15E-57;0;0;2,70E+07;0.271532451527659;0.266737587120105
-6,86647E+11;0.292918722275569;0.273210732513022;5,55E-56;0;0;2,79E+07;0.273211011787901;-0.0197077104876683
-6,85744E+12;0.410590803493847;0.274895380951267;9,78E-56;0;0;2,89E+07;0.274895669737157;-0.13569513375669
-6,84841E+12;-0.0214076736635143;0.276586111765829;1,72E-55;0;0;2,99E+07;0.276586410374957;0.297994084038471
-6,83938E+12;-0.0198051355924456;0.278282909568781;3,02E-55;0;0;3,09E+07;0.278283218323214;0.29808835391566
-6,83035E+12;-0.00307214066859274;0.279985758593683;5,31E-55;0;0;3,19E+07;0.279986077825621;0.283058218494214
-6,82132E+12;0.0223811588237979;0.281694642693863;9,31E-56;0;0;3,30E+07;0.281694972745946;0.259313813922148
-6,8123E+12;-0.115811734577218;0.283409545341857;1,63E-54;0;0;3,41E+07;0.283409886567479;0.399221621144697
-6,80327E+12;-0.24734472950108;0.285130449626982;2,85E-55;0;0;3,53E+07;0.28513080239061;0.53247553189169
-6,79424E+12;-0.202369602597521;0.286857338254624;4,99E-54;0;0;3,65E+07;0.286857702932133;0.489227305529654
-6,78521E+12;-0.719344221886864;0.288590193545567;8,72E-54;0;0;3,77E+07;0.288590570524577;1,00793E+14
-6,77618E+12;-0.647812749805649;0.290328997433613;1,52E-53;0;0;3,90E+06;0.29032938711384;0.938142136919489
-6,76715E+12;-0.552534577216814;0.292073731464946;2,65E-53;0;0;4,03E+07;0.292074134258566;0.84460871147538
-6,75812E+12;0.0279796359811542;0.29382437679754;4,62E-53;0;0;4,16E+07;0.293824793129554;0.2658451571484
-6,7491E+12;-0.11857975488179;0.29558091419883;8,03E-53;0;0;4,30E+07;0.295581344507446;0.414161099389236
-6,74007E+12;-0.329511226963007;0.297343324045156;1,40E-52;0;0;4,45E+07;0.297343768782183;0.62685499574519
-6,73104E+11;0.236663392326331;0.299111586321241;2,42E-52;0;0;4,60E+07;0.299112045952489;0.062448653626158
-6,72201E+12;0.335583696894862;0.30088568061793;4,21E-52;0;0;4,75E+07;0.300886155623625;-0.0346975412712373
-6,71298E+12;0.167462884712119;0.302665586131905;7,29E-53;0;0;4,91E+07;0.302666077007111;0.135203192294992
-6,70395E+12;0.0487918187222753;0.304451281664252;1,26E-51;0;0;5,07E+07;0.304451788919314;0.255659970197038
-6,69492E+12;0.158846641057298;0.30624274562024;2,18E-51;0;0;5,24E+07;0.306243269781226;0.147396628723928
-6,68589E+12;-0.0196802624960029;0.308039956007139;3,77E-51;0;0;5,42E+07;0.308040497616308;0.327720760112311
-6,67687E+12;-0.0197843234097057;0.309842890433853;6,51E-51;0;0;5,60E+07;0.309843450050124;0.32962777345983
-6,66784E+12;-0.106342191430009;0.311651526110575;1,12E-51;0;0;5,78E+06;0.311652104310021;0.41799429574003
-6,65881E+12;0.199555270498923;0.313465839846678;1,93E-50;0;0;5,97E+07;0.313466437223021;0.113911166724098
-6,64978E+12;0.216891818722274;0.315285808050424;3,32E-50;0;0;6,17E+07;0.315286425215555;0.0983946064932806
-6,64075E+12;0.18178166643801;0.317111406728709;5,71E-50;0;0;6,38E+07;0.317112044313212;0.135330377875202
-6,63172E+11;0.125859331412624;0.318942611485018;9,81E-51;0;0;6,59E+07;0.318943270138718;0.193083938726094
-6,62269E+12;0.216288265422779;0.320779397519215;1,68E-49;0;0;6,80E+07;0.320780077911735;0.104491812488956
-6,61366E+12;0.500790803493846;0.32262173962738;2,89E-49;0;0;7,03E+07;0.322622442448715;-0.178168361045131
-6,60464E+12;0.594778620752731;0.324469612199828;4,94E-49;0;0;7,26E+07;0.324470338160934;-0.270308282591797
-6,59561E+11;0.508824306031919;0.32632298922099;8,45E-49;0;0;7,50E+07;0.326323739054391;-0.182500566977528
-6,58658E+12;0.89938572735171;0.328181844269333;1,44E-48;0;0;7,74E+07;0.328182618729744;-0.571203108621966
-6,57755E+12;0.671866945625826;0.330046150515455;2,46E-48;0;0;8,00E+07;0.330046950380419;-0.341819995245407
-6,56852E+12;0.572176590295879;0.33191588072226;4,20E-48;0;0;8,26E+07;0.331916706792804;-0.240259883503075
-6,55949E+12;0.0415491791283635;0.333791007243927;7,16E-48;0;0;8,53E+07;0.333791860345241;0.292242681216877
-6,55046E+12;0.417937504001458;0.335671502026159;1,22E-47;0;0;8,81E+06;0.335672383008284;-0.0822651209931743
-6,54144E+12;0.626059331412627;0.337557336604372;2,07E-47;0;0;9,10E+07;0.337558246342912;-0.288501085069715
-6,53241E+12;0.492049686742575;0.339448482103786;3,52E-48;0;0;9,39E+07;0.339449421500641;-0.152600265241934
-6,52338E+12;0.581791818722273;0.341344909239555;5,97E-47;0;0;9,70E+07;0.341345879223669;-0.240445939498604
-6,51435E+12;0.348965930397398;0.343246588315039;1,01E-46;0;0;1,00E+08;0.343247589843171;-0.00571834055422743
-6,50532E+12;0.290920752732426;0.345153489221984;1,71E-46;0;0;1,03E+08;0.345154523279498;0.0542337705470722
-6,49629E+11;0.2539583161842;0.347065581440747;2,90E-47;0;0;1,07E+08;0.347066649042427;0.0931083328582272
-6,48726E+12;-0.0363091965061528;0.348982834038645;4,90E-46;0;0;1,10E+08;0.348983936229527;0.38529313273568
-6,47823E+12;0.227734965930395;0.350905215670232;8,27E-46;0;0;1,14E+08;0.35090635352646;0.123171387596065
-6,46921E+12;0.344470498925318;0.35283269457762;1,39E-45;0;0;1,17E+08;0.352833869207323;0.00836337028200473
-6,46018E+12;-0.0595564046279797;0.354765238588903;2,35E-45;0;0;1,21E+08;0.354766451133101;0.414322855761081
-6,45115E+12;-0.0893594503132604;0.356702815118752;3,95E-45;0;0;1,25E+08;0.356704066752282;0.446063517065542
